twa/tws;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
21;0;0.487;0.974;1.46;1.947;2.609;3.084;2.978;3.092;2.815;2.965;2.926;3.68;3.843;3.934;4.009;4.107;4.205;4.408;4.435;4.378;3.948;3.31;4.466;4.547;4.154;4.088;3.388;3.332;3.607;3.731;3.762;3.792;3.823;3.854;3.884;3.891;3.898;3.904;3.911;3.918;3.842;3.767;3.691;3.615;3.54;3.464;3.388;3.313;3.237;3.161;3.086;3.01;2.934;2.859;2.783;2.707;2.632;2.556;2.48;2.405;2.357;2.308;2.26;2.212;2.164;2.116;2.068;2.02;1.971;1.923
22;0;0.516;1.032;1.548;2.064;2.766;3.27;3.222;3.345;3.047;3.217;3.185;3.954;4.13;4.228;4.308;4.413;4.519;4.734;4.762;4.704;4.25;3.571;4.799;4.887;4.471;4.401;3.656;3.596;3.889;4.022;4.055;4.088;4.121;4.154;4.188;4.194;4.201;4.207;4.214;4.22;4.139;4.058;3.978;3.897;3.816;3.735;3.654;3.573;3.492;3.411;3.331;3.25;3.169;3.088;3.007;2.926;2.845;2.765;2.684;2.603;2.55;2.496;2.443;2.39;2.337;2.284;2.231;2.178;2.124;2.071
23;0;0.545;1.09;1.635;2.18;2.922;3.455;3.467;3.598;3.279;3.469;3.443;4.229;4.417;4.521;4.606;4.719;4.832;5.06;5.089;5.03;4.552;3.831;5.133;5.227;4.788;4.713;3.924;3.859;4.171;4.313;4.349;4.384;4.42;4.455;4.491;4.497;4.503;4.51;4.516;4.522;4.436;4.35;4.264;4.178;4.092;4.006;3.92;3.834;3.748;3.662;3.576;3.489;3.403;3.317;3.231;3.145;3.059;2.973;2.887;2.801;2.743;2.685;2.626;2.568;2.51;2.452;2.394;2.335;2.277;2.219
24;0;0.574;1.148;1.723;2.297;3.079;3.641;3.711;3.852;3.51;3.721;3.701;4.503;4.704;4.814;4.905;5.025;5.145;5.386;5.416;5.356;4.855;4.092;5.466;5.567;5.105;5.025;4.193;4.122;4.453;4.604;4.642;4.68;4.718;4.756;4.794;4.8;4.806;4.812;4.818;4.824;4.733;4.642;4.551;4.459;4.368;4.277;4.186;4.094;4.003;3.912;3.82;3.729;3.638;3.547;3.455;3.364;3.273;3.182;3.09;2.999;2.936;2.873;2.809;2.746;2.683;2.62;2.557;2.493;2.43;2.367
25;0;0.602;1.204;1.806;2.408;3.227;3.816;3.943;4.092;3.73;3.961;3.959;4.788;5.002;5.119;5.214;5.343;5.471;5.716;5.738;5.695;5.188;4.401;5.811;5.918;5.458;5.372;4.515;4.44;4.786;4.947;4.987;5.026;5.065;5.105;5.144;5.148;5.152;5.155;5.159;5.163;5.066;4.97;4.874;4.777;4.681;4.584;4.488;4.391;4.295;4.198;4.102;4.005;3.909;3.812;3.716;3.619;3.523;3.426;3.33;3.233;3.163;3.094;3.024;2.954;2.884;2.814;2.744;2.674;2.604;2.534
26;0;0.63;1.26;1.89;2.52;3.375;3.992;4.175;4.333;3.949;4.2;4.218;5.073;5.301;5.424;5.524;5.662;5.797;6.046;6.061;6.033;5.522;4.709;6.156;6.269;5.81;5.72;4.837;4.757;5.118;5.291;5.331;5.372;5.413;5.453;5.494;5.495;5.497;5.498;5.5;5.501;5.4;5.298;5.196;5.095;4.993;4.891;4.79;4.688;4.586;4.485;4.383;4.281;4.18;4.078;3.976;3.875;3.773;3.671;3.57;3.468;3.391;3.314;3.238;3.161;3.084;3.007;2.931;2.854;2.777;2.701
27;0;0.658;1.316;1.974;2.632;3.523;4.167;4.407;4.574;4.169;4.44;4.476;5.357;5.599;5.728;5.834;5.98;6.123;6.375;6.383;6.372;5.855;5.018;6.501;6.62;6.162;6.067;5.159;5.074;5.45;5.634;5.676;5.718;5.76;5.802;5.844;5.843;5.842;5.841;5.841;5.84;5.733;5.626;5.519;5.412;5.306;5.199;5.092;4.985;4.878;4.771;4.664;4.557;4.45;4.344;4.237;4.13;4.023;3.916;3.809;3.702;3.619;3.535;3.452;3.368;3.285;3.201;3.118;3.034;2.951;2.867
28;0;0.686;1.372;2.057;2.743;3.671;4.343;4.639;4.814;4.388;4.679;4.734;5.642;5.898;6.033;6.143;6.299;6.449;6.705;6.705;6.71;6.189;5.326;6.845;6.971;6.514;6.414;5.481;5.391;5.782;5.978;6.021;6.064;6.107;6.15;6.194;6.191;6.188;6.184;6.181;6.178;6.066;5.954;5.842;5.73;5.618;5.506;5.394;5.282;5.17;5.058;4.946;4.833;4.721;4.609;4.497;4.385;4.273;4.161;4.049;3.937;3.847;3.756;3.666;3.576;3.485;3.395;3.305;3.215;3.124;3.034
29;0;0.714;1.427;2.141;2.855;3.819;4.519;4.871;5.055;4.608;4.918;4.992;5.926;6.196;6.338;6.453;6.617;6.775;7.035;7.027;7.049;6.522;5.634;7.19;7.322;6.867;6.761;5.804;5.708;6.115;6.321;6.366;6.41;6.455;6.499;6.543;6.538;6.533;6.528;6.522;6.517;6.4;6.282;6.165;6.048;5.931;5.813;5.696;5.579;5.461;5.344;5.227;5.11;4.992;4.875;4.758;4.64;4.523;4.406;4.289;4.171;4.074;3.977;3.88;3.783;3.686;3.589;3.492;3.395;3.298;3.201
30;0;0.742;1.483;2.225;2.966;3.967;4.694;5.103;5.296;4.827;5.158;5.251;6.211;6.494;6.642;6.763;6.936;7.101;7.365;7.349;7.387;6.856;5.943;7.535;7.673;7.219;7.109;6.126;6.026;6.447;6.665;6.711;6.756;6.802;6.847;6.893;6.886;6.878;6.871;6.863;6.856;6.733;6.611;6.488;6.366;6.243;6.121;5.998;5.876;5.753;5.631;5.508;5.386;5.263;5.141;5.018;4.896;4.773;4.651;4.528;4.406;4.302;4.198;4.094;3.99;3.887;3.783;3.679;3.575;3.471;3.368
