twa/tws;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
89;0;1.932;3.864;5.795;7.727;8.672;9.665;10.169;11.114;12.269;13.15;13.796;14.347;15.034;15.849;16.745;17.343;17.653;18.056;18.592;19.14;19.673;20.194;20.687;21.168;21.629;21.926;22.396;22.855;23.006;23.487;23.438;23.39;23.342;23.293;23.245;22.9;22.557;22.217;21.879;21.544;21.237;20.929;20.621;20.313;20.005;19.698;19.39;19.082;18.774;18.466;18.158;17.851;17.543;17.235;16.927;16.619;16.311;16.004;15.696;15.388;14.76;14.132;13.504;12.877;12.249;11.621;10.993;10.365;9.737;9.109
90;0;1.941;3.882;5.822;7.763;8.706;9.699;10.201;11.153;12.337;13.24;13.892;14.458;15.153;15.981;16.903;17.504;17.806;18.213;18.755;19.308;19.851;20.383;20.883;21.374;21.853;22.177;22.646;23.095;23.241;23.741;23.698;23.654;23.61;23.566;23.522;23.182;22.844;22.509;22.176;21.845;21.532;21.218;20.905;20.592;20.278;19.965;19.651;19.338;19.024;18.711;18.398;18.084;17.771;17.457;17.144;16.83;16.517;16.203;15.89;15.577;14.939;14.301;13.663;13.025;12.387;11.749;11.111;10.473;9.835;9.198
91;0;1.935;3.869;5.804;7.738;8.68;9.667;10.189;11.112;12.327;13.231;13.906;14.508;15.229;16.04;16.969;17.601;17.919;18.356;18.884;19.415;19.963;20.487;20.982;21.474;21.963;22.301;22.766;23.22;23.38;23.872;23.832;23.791;23.751;23.711;23.67;23.33;22.992;22.656;22.323;21.992;21.679;21.366;21.054;20.741;20.428;20.115;19.803;19.49;19.177;18.864;18.552;18.239;17.926;17.613;17.301;16.988;16.675;16.363;16.05;15.737;15.092;14.446;13.8;13.155;12.509;11.864;11.218;10.573;9.927;9.282
92;0;1.928;3.857;5.785;7.713;8.654;9.635;10.178;11.071;12.317;13.222;13.92;14.559;15.304;16.098;17.036;17.698;18.031;18.499;19.012;19.521;20.076;20.591;21.081;21.574;22.072;22.425;22.886;23.345;23.52;24.002;23.965;23.929;23.892;23.855;23.819;23.478;23.139;22.803;22.469;22.138;21.826;21.514;21.202;20.89;20.578;20.266;19.954;19.642;19.33;19.018;18.706;18.394;18.082;17.77;17.458;17.146;16.834;16.522;16.21;15.898;15.244;14.591;13.938;13.285;12.632;11.979;11.325;10.672;10.019;9.366
93;0;1.922;3.844;5.766;7.688;8.628;9.603;10.167;11.03;12.307;13.213;13.934;14.609;15.379;16.157;17.102;17.795;18.144;18.642;19.14;19.627;20.189;20.696;21.181;21.674;22.182;22.549;23.006;23.47;23.66;24.133;24.099;24.066;24.033;24;23.967;23.625;23.287;22.95;22.616;22.285;21.973;21.662;21.351;21.039;20.728;20.417;20.105;19.794;19.483;19.171;18.86;18.549;18.237;17.926;17.615;17.303;16.992;16.681;16.369;16.058;15.397;14.736;14.076;13.415;12.754;12.093;11.433;10.772;10.111;9.45
94;0;1.916;3.831;5.747;7.663;8.602;9.571;10.156;10.989;12.297;13.203;13.948;14.66;15.455;16.215;17.168;17.892;18.257;18.785;19.269;19.734;20.301;20.8;21.28;21.774;22.291;22.673;23.126;23.595;23.8;24.263;24.233;24.204;24.174;24.144;24.115;23.773;23.434;23.097;22.763;22.431;22.12;21.81;21.499;21.189;20.878;20.567;20.257;19.946;19.635;19.325;19.014;18.704;18.393;18.082;17.772;17.461;17.15;16.84;16.529;16.219;15.55;14.882;14.213;13.545;12.877;12.208;11.54;10.871;10.203;9.535
95;0;1.909;3.819;5.728;7.638;8.576;9.539;10.145;10.948;12.287;13.194;13.962;14.71;15.53;16.274;17.234;17.989;18.369;18.927;19.397;19.84;20.414;20.904;21.379;21.874;22.401;22.797;23.246;23.721;23.94;24.393;24.367;24.341;24.315;24.289;24.263;23.921;23.582;23.244;22.91;22.578;22.268;21.958;21.648;21.338;21.028;20.718;20.408;20.098;19.788;19.478;19.168;18.858;18.548;18.239;17.929;17.619;17.309;16.999;16.689;16.379;15.703;15.027;14.351;13.675;12.999;12.323;11.647;10.971;10.295;9.619
96;0;1.903;3.806;5.71;7.613;8.55;9.506;10.134;10.907;12.277;13.185;13.976;14.761;15.606;16.332;17.301;18.086;18.482;19.07;19.525;19.947;20.527;21.008;21.478;21.974;22.511;22.922;23.366;23.846;24.079;24.524;24.501;24.479;24.456;24.434;24.411;24.069;23.729;23.392;23.057;22.724;22.415;22.106;21.796;21.487;21.178;20.869;20.559;20.25;19.941;19.632;19.322;19.013;18.704;18.395;18.086;17.776;17.467;17.158;16.849;16.539;15.856;15.172;14.489;13.805;13.121;12.438;11.754;11.07;10.387;9.703
97;0;1.897;3.794;5.691;7.588;8.523;9.474;10.123;10.865;12.267;13.176;13.99;14.812;15.681;16.391;17.367;18.183;18.595;19.213;19.653;20.053;20.639;21.113;21.577;22.075;22.62;23.046;23.486;23.973;24.219;24.654;24.635;24.616;24.597;24.578;24.559;24.217;23.877;23.539;23.203;22.87;22.562;22.253;21.945;21.636;21.328;21.019;20.711;20.402;20.094;19.785;19.477;19.168;18.86;18.551;18.243;17.934;17.626;17.317;17.008;16.7;16.009;15.317;14.626;13.935;13.244;12.552;11.861;11.17;10.479;9.787
98;0;1.891;3.781;5.672;7.563;8.497;9.442;10.112;10.824;12.257;13.167;14.004;14.862;15.757;16.45;17.433;18.28;18.707;19.356;19.782;20.159;20.752;21.217;21.676;22.175;22.73;23.17;23.606;24.104;24.359;24.785;24.769;24.754;24.738;24.723;24.707;24.365;24.024;23.686;23.35;23.017;22.709;22.401;22.093;21.786;21.478;21.17;20.862;20.554;20.246;19.939;19.631;19.323;19.015;18.707;18.4;18.092;17.784;17.476;17.168;16.86;16.162;15.463;14.764;14.065;13.366;12.667;11.968;11.269;10.57;9.872
99;0;1.884;3.769;5.653;7.538;8.471;9.41;10.101;10.783;12.247;13.158;14.018;14.913;15.832;16.508;17.499;18.377;18.82;19.499;19.91;20.266;20.864;21.321;21.775;22.275;22.839;23.294;23.726;24.236;24.499;24.915;24.903;24.891;24.879;24.867;24.855;24.512;24.172;23.833;23.497;23.163;22.856;22.549;22.242;21.935;21.628;21.321;21.013;20.706;20.399;20.092;19.785;19.478;19.171;18.864;18.557;18.249;17.942;17.635;17.328;17.021;16.314;15.608;14.901;14.195;13.488;12.782;12.075;11.369;10.662;9.956
100;0;1.878;3.756;5.634;7.512;8.445;9.378;10.09;10.742;12.237;13.149;14.032;14.963;15.907;16.567;17.566;18.474;18.933;19.642;20.038;20.372;20.977;21.426;21.874;22.375;22.949;23.418;23.846;24.367;24.638;25.045;25.037;25.029;25.02;25.012;25.004;24.66;24.319;23.98;23.644;23.31;23.003;22.697;22.39;22.084;21.778;21.471;21.165;20.858;20.552;20.246;19.939;19.633;19.326;19.02;18.713;18.407;18.101;17.794;17.488;17.181;16.467;15.753;15.039;14.325;13.611;12.897;12.182;11.468;10.754;10.04
101;0;1.872;3.744;5.616;7.487;8.417;9.345;10.078;10.701;12.227;13.139;14.046;15.014;15.983;16.623;17.631;18.57;19.045;19.784;20.166;20.48;21.09;21.531;21.973;22.476;23.057;23.541;23.966;24.491;24.778;25.176;25.171;25.166;25.161;25.156;25.151;24.807;24.465;24.126;23.79;23.455;23.149;22.844;22.538;22.232;21.927;21.621;21.315;21.009;20.704;20.398;20.092;19.787;19.481;19.175;18.869;18.564;18.258;17.952;17.647;17.341;16.619;15.898;15.176;14.454;13.733;13.011;12.289;11.568;10.846;10.124
102;0;1.866;3.731;5.597;7.462;8.389;9.312;10.066;10.66;12.217;13.129;14.06;15.064;16.058;16.68;17.696;18.666;19.158;19.926;20.293;20.587;21.202;21.636;22.072;22.577;23.166;23.664;24.086;24.616;24.918;25.306;25.304;25.303;25.301;25.299;25.298;24.954;24.612;24.273;23.935;23.601;23.296;22.991;22.686;22.381;22.076;21.771;21.466;21.16;20.855;20.55;20.245;19.94;19.635;19.33;19.025;18.72;18.415;18.11;17.805;17.5;16.771;16.042;15.313;14.584;13.854;13.125;12.396;11.667;10.938;10.209
103;0;1.859;3.719;5.578;7.437;8.361;9.279;10.054;10.619;12.207;13.119;14.074;15.115;16.134;16.736;17.761;18.762;19.271;20.068;20.42;20.694;21.315;21.742;22.172;22.678;23.274;23.787;24.206;24.74;25.058;25.436;25.438;25.44;25.441;25.443;25.445;25.1;24.758;24.419;24.081;23.746;23.442;23.137;22.833;22.529;22.224;21.92;21.616;21.312;21.007;20.703;20.399;20.094;19.79;19.486;19.181;18.877;18.573;18.268;17.964;17.66;16.923;16.186;15.45;14.713;13.976;13.24;12.503;11.766;11.029;10.293
104;0;1.853;3.706;5.559;7.412;8.333;9.246;10.042;10.578;12.196;13.109;14.088;15.165;16.209;16.793;17.826;18.858;19.383;20.209;20.547;20.802;21.428;21.847;22.271;22.78;23.383;23.91;24.326;24.864;25.198;25.567;25.572;25.577;25.582;25.587;25.592;25.247;24.905;24.565;24.227;23.891;23.588;23.284;22.981;22.677;22.373;22.07;21.766;21.463;21.159;20.855;20.552;20.248;19.945;19.641;19.337;19.034;18.73;18.427;18.123;17.819;17.075;16.331;15.587;14.842;14.098;13.354;12.61;11.865;11.121;10.377
105;0;1.847;3.694;5.54;7.387;8.305;9.213;10.03;10.537;12.186;13.099;14.102;15.216;16.284;16.849;17.892;18.953;19.496;20.351;20.675;20.909;21.54;21.952;22.37;22.881;23.491;24.033;24.446;24.988;25.337;25.697;25.706;25.714;25.722;25.731;25.739;25.394;25.051;24.711;24.373;24.037;23.734;23.431;23.128;22.825;22.522;22.219;21.917;21.614;21.311;21.008;20.705;20.402;20.099;19.796;19.493;19.19;18.887;18.585;18.282;17.979;17.227;16.475;15.724;14.972;14.22;13.468;12.717;11.965;11.213;10.461
106;0;1.841;3.681;5.522;7.362;8.277;9.179;10.018;10.495;12.176;13.089;14.116;15.266;16.36;16.906;17.957;19.049;19.609;20.493;20.802;21.017;21.653;22.058;22.469;22.982;23.6;24.157;24.565;25.112;25.477;25.828;25.839;25.851;25.863;25.874;25.886;25.541;25.198;24.857;24.519;24.182;23.88;23.578;23.276;22.974;22.671;22.369;22.067;21.765;21.462;21.16;20.858;20.556;20.254;19.951;19.649;19.347;19.045;18.743;18.44;18.138;17.379;16.62;15.86;15.101;14.342;13.583;12.823;12.064;11.305;10.546
107;0;1.834;3.668;5.503;7.337;8.249;9.146;10.006;10.454;12.166;13.079;14.13;15.317;16.435;16.962;18.022;19.145;19.721;20.635;20.929;21.124;21.766;22.163;22.568;23.083;23.708;24.28;24.685;25.236;25.617;25.958;25.973;25.988;26.003;26.018;26.033;25.688;25.344;25.003;24.664;24.328;24.026;23.725;23.423;23.122;22.82;22.519;22.217;21.916;21.614;21.313;21.011;20.71;20.408;20.107;19.805;19.504;19.202;18.901;18.599;18.298;17.531;16.764;15.997;15.231;14.464;13.697;12.93;12.163;11.397;10.63
108;0;1.828;3.656;5.484;7.312;8.221;9.113;9.994;10.413;12.156;13.069;14.144;15.368;16.511;17.019;18.087;19.241;19.834;20.777;21.056;21.232;21.878;22.269;22.667;23.184;23.817;24.403;24.805;25.36;25.757;26.088;26.107;26.125;26.144;26.162;26.18;25.834;25.491;25.149;24.81;24.473;24.172;23.872;23.571;23.27;22.969;22.668;22.368;22.067;21.766;21.465;21.164;20.864;20.563;20.262;19.961;19.66;19.36;19.059;18.758;18.457;17.683;16.909;16.134;15.36;14.586;13.811;13.037;12.263;11.488;10.714
109;0;1.822;3.643;5.465;7.287;8.193;9.08;9.982;10.372;12.146;13.059;14.158;15.418;16.586;17.075;18.152;19.337;19.947;20.919;21.184;21.339;21.991;22.374;22.766;23.286;23.925;24.526;24.925;25.484;25.896;26.219;26.241;26.262;26.284;26.306;26.327;25.981;25.637;25.295;24.956;24.619;24.319;24.018;23.718;23.418;23.118;22.818;22.518;22.218;21.918;21.618;21.318;21.017;20.717;20.417;20.117;19.817;19.517;19.217;18.917;18.617;17.835;17.053;16.271;15.489;14.707;13.926;13.144;12.362;11.58;10.798
110;0;1.815;3.631;5.446;7.262;8.164;9.047;9.97;10.331;12.136;13.049;14.172;15.469;16.661;17.132;18.218;19.433;20.059;21.061;21.311;21.447;22.104;22.479;22.865;23.387;24.033;24.649;25.045;25.609;26.036;26.349;26.374;26.399;26.424;26.449;26.474;26.128;25.784;25.442;25.102;24.764;24.465;24.165;23.866;23.566;23.267;22.968;22.668;22.369;22.07;21.77;21.471;21.171;20.872;20.573;20.273;19.974;19.674;19.375;19.076;18.776;17.987;17.197;16.408;15.619;14.829;14.04;13.251;12.461;11.672;10.883
111;0;1.801;3.602;5.403;7.204;8.103;8.99;9.903;10.277;12.031;12.932;14.096;15.353;16.52;17.07;18.158;19.368;20.015;21.044;21.329;21.506;22.167;22.574;22.973;23.496;24.141;24.728;25.109;25.65;26.069;26.346;26.322;26.362;26.403;26.443;26.484;26.143;25.805;25.469;25.135;24.803;24.51;24.216;23.923;23.629;23.336;23.042;22.749;22.455;22.162;21.868;21.575;21.281;20.988;20.694;20.401;20.108;19.814;19.521;19.227;18.934;18.138;17.343;16.547;15.752;14.956;14.161;13.365;12.57;11.774;10.979
112;0;1.786;3.573;5.359;7.145;8.042;8.933;9.835;10.223;11.926;12.814;14.02;15.238;16.378;17.008;18.098;19.302;19.972;21.027;21.346;21.565;22.231;22.669;23.08;23.606;24.248;24.807;25.173;25.692;26.101;26.353;26.313;26.325;26.381;26.437;26.493;26.159;25.827;25.497;25.168;24.842;24.555;24.267;23.98;23.692;23.405;23.117;22.829;22.542;22.254;21.967;21.679;21.392;21.104;20.816;20.529;20.241;19.954;19.666;19.379;19.091;18.29;17.488;16.686;15.885;15.083;14.282;13.48;12.678;11.877;11.075
113;0;1.772;3.544;5.315;7.087;7.981;8.876;9.768;10.168;11.82;12.697;13.944;15.123;16.236;16.947;18.038;19.236;19.928;21.011;21.364;21.625;22.295;22.764;23.188;23.715;24.356;24.887;25.236;25.734;26.133;26.361;26.328;26.295;26.36;26.431;26.503;26.174;25.848;25.524;25.202;24.881;24.6;24.318;24.036;23.755;23.473;23.192;22.91;22.628;22.347;22.065;21.783;21.502;21.22;20.938;20.657;20.375;20.094;19.812;19.53;19.249;18.441;17.633;16.825;16.018;15.21;14.402;13.595;12.787;11.979;11.171
114;0;1.757;3.515;5.272;7.029;7.92;8.818;9.701;10.114;11.715;12.58;13.867;15.008;16.095;16.885;17.978;19.17;19.884;20.994;21.382;21.684;22.358;22.859;23.295;23.825;24.463;24.966;25.3;25.775;26.166;26.368;26.342;26.316;26.338;26.425;26.512;26.19;25.87;25.552;25.235;24.921;24.645;24.369;24.093;23.818;23.542;23.266;22.99;22.715;22.439;22.163;21.888;21.612;21.336;21.06;20.785;20.509;20.233;19.957;19.682;19.406;18.592;17.778;16.965;16.151;15.337;14.523;13.709;12.895;12.082;11.268
115;0;1.743;3.485;5.228;6.971;7.859;8.761;9.634;10.06;11.61;12.462;13.791;14.892;15.953;16.823;17.918;19.105;19.84;20.977;21.4;21.744;22.422;22.954;23.402;23.934;24.571;25.045;25.363;25.817;26.198;26.375;26.357;26.338;26.319;26.419;26.521;26.206;25.891;25.579;25.269;24.96;24.69;24.42;24.15;23.88;23.611;23.341;23.071;22.801;22.531;22.262;21.992;21.722;21.452;21.182;20.913;20.643;20.373;20.103;19.833;19.564;18.744;17.924;17.104;16.284;15.464;14.644;13.824;13.004;12.184;11.364
116;0;1.733;3.465;5.198;6.931;7.797;8.704;9.567;10.006;11.504;12.345;13.715;14.777;15.812;16.762;17.857;19.039;19.796;20.96;21.417;21.803;22.485;23.049;23.51;24.044;24.678;25.125;25.427;25.859;26.23;26.383;26.371;26.359;26.348;26.413;26.531;26.221;25.913;25.607;25.302;24.999;24.735;24.471;24.207;23.943;23.679;23.415;23.152;22.888;22.624;22.36;22.096;21.832;21.568;21.304;21.04;20.777;20.513;20.249;19.985;19.721;18.895;18.069;17.243;16.417;15.591;14.765;13.938;13.112;12.286;11.46
117;0;1.725;3.45;5.175;6.901;7.736;8.647;9.499;9.952;11.399;12.228;13.639;14.662;15.67;16.7;17.797;18.973;19.753;20.944;21.435;21.863;22.549;23.144;23.617;24.153;24.786;25.204;25.491;25.901;26.263;26.39;26.385;26.381;26.376;26.407;26.54;26.237;25.935;25.634;25.335;25.038;24.78;24.522;24.264;24.006;23.748;23.49;23.232;22.974;22.716;22.458;22.2;21.942;21.684;21.426;21.168;20.91;20.652;20.394;20.136;19.878;19.046;18.214;17.382;16.55;15.718;14.885;14.053;13.221;12.389;11.557
118;0;1.718;3.435;5.153;6.871;7.711;8.59;9.432;9.898;11.294;12.11;13.563;14.547;15.528;16.639;17.737;18.908;19.709;20.927;21.453;21.922;22.613;23.239;23.725;24.263;24.893;25.283;25.554;25.942;26.295;26.397;26.4;26.402;26.405;26.407;26.549;26.252;25.956;25.662;25.369;25.077;24.825;24.573;24.321;24.069;23.817;23.565;23.313;23.061;22.809;22.556;22.304;22.052;21.8;21.548;21.296;21.044;20.792;20.54;20.288;20.036;19.198;18.359;17.521;16.683;15.844;15.006;14.168;13.329;12.491;11.653
119;0;1.71;3.42;5.13;6.84;7.692;8.581;9.385;9.843;11.188;11.993;13.486;14.431;15.387;16.577;17.677;18.842;19.665;20.91;21.471;21.982;22.676;23.334;23.832;24.372;25;25.362;25.618;25.984;26.327;26.404;26.414;26.424;26.433;26.443;26.559;26.268;25.978;25.689;25.402;25.116;24.87;24.624;24.378;24.132;23.885;23.639;23.393;23.147;22.901;22.655;22.409;22.162;21.916;21.67;21.424;21.178;20.932;20.686;20.44;20.193;19.349;18.505;17.66;16.816;15.971;15.127;14.282;13.438;12.594;11.749
120;0;1.703;3.405;5.108;6.81;7.673;8.586;9.408;9.89;11.193;11.976;13.44;14.316;15.245;16.515;17.617;18.776;19.621;20.894;21.488;22.041;22.74;23.428;23.94;24.482;25.108;25.442;25.682;26.026;26.36;26.412;26.428;26.445;26.462;26.479;26.568;26.283;25.999;25.717;25.435;25.155;24.915;24.675;24.435;24.194;23.954;23.714;23.474;23.233;22.993;22.753;22.513;22.273;22.032;21.792;21.552;21.312;21.072;20.831;20.591;20.351;19.5;18.65;17.799;16.949;16.098;15.248;14.397;13.547;12.696;11.845
121;0;1.69;3.38;5.069;6.759;7.616;8.531;9.341;9.835;11.086;11.86;13.373;14.187;15.094;16.448;17.554;18.71;19.578;20.876;21.507;22.1;22.804;23.524;24.046;24.591;25.215;25.521;25.744;26.069;26.39;26.42;26.437;26.454;26.471;26.489;26.579;26.299;26.021;25.744;25.468;25.193;24.959;24.725;24.49;24.256;24.022;23.788;23.553;23.319;23.085;22.851;22.616;22.382;22.148;21.914;21.679;21.445;21.211;20.977;20.742;20.508;19.651;18.794;17.938;17.081;16.224;15.367;14.511;13.654;12.797;11.94
122;0;1.677;3.354;5.031;6.708;7.559;8.476;9.274;9.78;10.98;11.744;13.306;14.058;14.944;16.381;17.491;18.644;19.535;20.859;21.525;22.159;22.868;23.619;24.153;24.7;25.321;25.599;25.807;26.112;26.42;26.428;26.446;26.463;26.481;26.498;26.589;26.315;26.043;25.771;25.5;25.231;25.003;24.774;24.546;24.318;24.09;23.861;23.633;23.405;23.176;22.948;22.72;22.491;22.263;22.035;21.807;21.578;21.35;21.122;20.893;20.665;19.802;18.939;18.076;17.213;16.35;15.487;14.624;13.761;12.898;12.035
123;0;1.664;3.328;4.992;6.657;7.502;8.422;9.208;9.726;10.873;11.628;13.24;13.949;14.793;16.313;17.428;18.578;19.492;20.842;21.544;22.218;22.931;23.714;24.259;24.809;25.428;25.678;25.869;26.154;26.45;26.436;26.454;26.472;26.49;26.508;26.6;26.331;26.064;25.798;25.533;25.269;25.047;24.824;24.602;24.38;24.157;23.935;23.713;23.49;23.268;23.046;22.823;22.601;22.379;22.156;21.934;21.712;21.489;21.267;21.045;20.822;19.953;19.084;18.214;17.345;16.476;15.607;14.737;13.868;12.999;12.13
124;0;1.651;3.303;4.954;6.605;7.446;8.367;9.141;9.671;10.766;11.512;13.173;13.86;14.643;16.246;17.364;18.512;19.45;20.824;21.562;22.278;22.995;23.809;24.366;24.918;25.534;25.757;25.932;26.197;26.48;26.444;26.463;26.481;26.5;26.518;26.61;26.348;26.086;25.825;25.566;25.307;25.09;24.874;24.658;24.441;24.225;24.009;23.792;23.576;23.359;23.143;22.927;22.71;22.494;22.278;22.061;21.845;21.629;21.412;21.196;20.979;20.104;19.228;18.353;17.477;16.602;15.726;14.851;13.975;13.1;12.224
125;0;1.639;3.277;4.916;6.554;7.389;8.313;9.074;9.617;10.659;11.396;13.106;13.771;14.492;16.179;17.301;18.446;19.407;20.807;21.581;22.337;23.059;23.904;24.473;25.027;25.641;25.836;25.995;26.24;26.51;26.452;26.471;26.49;26.509;26.528;26.62;26.364;26.108;25.853;25.598;25.345;25.134;24.924;24.713;24.503;24.293;24.082;23.872;23.661;23.451;23.241;23.03;22.82;22.609;22.399;22.189;21.978;21.768;21.557;21.347;21.137;20.255;19.373;18.491;17.61;16.728;15.846;14.964;14.083;13.201;12.319
126;0;1.626;3.251;4.877;6.503;7.332;8.258;9.007;9.562;10.552;11.28;13.039;13.683;14.389;16.111;17.238;18.38;19.364;20.789;21.6;22.396;23.122;23.999;24.579;25.136;25.748;25.915;26.057;26.283;26.54;26.46;26.48;26.499;26.519;26.538;26.631;26.38;26.129;25.88;25.631;25.383;25.178;24.974;24.769;24.565;24.36;24.156;23.951;23.747;23.543;23.338;23.134;22.929;22.725;22.52;22.316;22.111;21.907;21.703;21.498;21.294;20.406;19.518;18.63;17.742;16.854;15.966;15.078;14.19;13.302;12.414
127;0;1.613;3.226;4.839;6.452;7.275;8.203;8.94;9.507;10.445;11.165;12.972;13.594;14.297;16.077;17.175;18.314;19.321;20.772;21.618;22.455;23.186;24.094;24.686;25.245;25.854;25.993;26.12;26.326;26.571;26.469;26.489;26.508;26.528;26.548;26.641;26.396;26.151;25.907;25.663;25.42;25.222;25.024;24.825;24.627;24.428;24.23;24.031;23.833;23.634;23.436;23.237;23.039;22.84;22.642;22.443;22.245;22.046;21.848;21.649;21.451;20.557;19.662;18.768;17.874;16.98;16.085;15.191;14.297;13.403;12.509
128;0;1.6;3.2;4.8;6.4;7.218;8.149;8.873;9.453;10.338;11.049;12.905;13.505;14.206;16.101;17.176;18.25;19.278;20.755;21.637;22.514;23.25;24.189;24.793;25.354;25.961;26.072;26.182;26.369;26.601;26.477;26.497;26.518;26.538;26.558;26.652;26.412;26.173;25.934;25.696;25.458;25.266;25.073;24.881;24.688;24.496;24.303;24.111;23.918;23.726;23.533;23.341;23.148;22.956;22.763;22.571;22.378;22.186;21.993;21.8;21.608;20.707;19.807;18.907;18.006;17.106;16.205;15.305;14.404;13.504;12.603
129;0;1.587;3.174;4.762;6.349;7.161;8.094;8.806;9.398;10.231;10.933;12.838;13.416;14.114;16.125;17.245;18.369;19.433;20.915;21.655;22.573;23.314;24.284;24.899;25.463;26.068;26.151;26.245;26.412;26.631;26.485;26.506;26.527;26.547;26.568;26.662;26.428;26.194;25.961;25.729;25.496;25.31;25.123;24.937;24.75;24.563;24.377;24.19;24.004;23.817;23.631;23.444;23.258;23.071;22.884;22.698;22.511;22.325;22.138;21.952;21.765;20.858;19.952;19.045;18.138;17.232;16.325;15.418;14.511;13.605;12.698
130;0;1.57;3.139;4.709;6.279;7.101;8.024;8.726;9.328;10.13;10.832;12.708;13.265;13.941;15.971;17.11;18.244;19.319;20.821;21.551;22.49;23.262;24.253;24.899;25.515;26.109;26.172;26.266;26.412;26.6;26.464;26.483;26.502;26.52;26.539;26.631;26.399;26.168;25.937;25.706;25.476;25.294;25.112;24.93;24.748;24.566;24.384;24.202;24.02;23.838;23.656;23.474;23.292;23.11;22.928;22.746;22.563;22.381;22.199;22.017;21.835;20.928;20.02;19.112;18.204;17.297;16.389;15.481;14.574;13.666;12.758
131;0;1.552;3.103;4.655;6.207;7.039;7.942;8.64;9.252;10.044;10.756;12.55;13.107;13.79;15.71;16.955;18.102;19.183;20.643;21.365;22.308;23.128;24.14;24.822;25.525;26.116;26.174;26.268;26.385;26.558;26.435;26.453;26.471;26.49;26.508;26.56;26.34;26.12;25.901;25.681;25.462;25.282;25.103;24.923;24.743;24.563;24.384;24.204;24.024;23.845;23.665;23.485;23.305;23.126;22.946;22.766;22.586;22.407;22.227;22.047;21.867;20.962;20.058;19.153;18.248;17.343;16.438;15.533;14.628;13.723;12.818
132;0;1.534;3.067;4.601;6.134;6.977;7.86;8.554;9.175;9.958;10.68;12.391;12.949;13.639;15.449;16.8;17.96;19.047;20.466;21.18;22.127;22.995;24.027;24.745;25.536;26.122;26.176;26.27;26.358;26.516;26.406;26.423;26.441;26.459;26.477;26.495;26.281;26.072;25.864;25.656;25.448;25.271;25.093;24.916;24.738;24.561;24.384;24.206;24.029;23.851;23.674;23.496;23.319;23.142;22.964;22.787;22.609;22.432;22.254;22.077;21.9;20.997;20.095;19.193;18.291;17.389;16.487;15.585;14.683;13.781;12.879
133;0;1.516;3.031;4.547;6.062;6.915;7.777;8.467;9.099;9.872;10.604;12.233;12.791;13.488;15.188;16.644;17.819;18.912;20.289;20.994;21.945;22.861;23.915;24.668;25.546;26.128;26.178;26.272;26.33;26.474;26.376;26.394;26.411;26.429;26.446;26.464;26.233;26.025;25.828;25.631;25.434;25.259;25.084;24.909;24.734;24.558;24.383;24.208;24.033;23.858;23.683;23.508;23.333;23.157;22.982;22.807;22.632;22.457;22.282;22.107;21.932;21.032;20.133;19.234;18.334;17.435;16.536;15.637;14.737;13.838;12.939
134;0;1.497;2.995;4.492;5.99;6.852;7.695;8.381;9.023;9.785;10.527;12.074;12.634;13.337;14.927;16.489;17.677;18.776;20.111;20.808;21.764;22.727;23.802;24.591;25.556;26.134;26.18;26.274;26.303;26.433;26.347;26.364;26.381;26.398;26.416;26.433;26.205;25.978;25.792;25.606;25.42;25.247;25.074;24.902;24.729;24.556;24.383;24.21;24.037;23.865;23.692;23.519;23.346;23.173;23.001;22.828;22.655;22.482;22.309;22.137;21.964;21.067;20.171;19.274;18.378;17.481;16.585;15.688;14.792;13.895;12.999
135;0;1.479;2.959;4.438;5.918;6.79;7.613;8.295;8.947;9.699;10.451;11.916;12.476;13.186;14.667;16.334;17.535;18.641;19.934;20.633;21.582;22.594;23.689;24.513;25.567;26.141;26.182;26.276;26.276;26.391;26.318;26.335;26.351;26.368;26.385;26.401;26.178;25.954;25.755;25.581;25.406;25.235;25.065;24.894;24.724;24.553;24.383;24.212;24.042;23.871;23.701;23.53;23.36;23.189;23.019;22.848;22.678;22.507;22.337;22.166;21.996;21.102;20.208;19.315;18.421;17.527;16.634;15.74;14.846;13.953;13.059
136;0;1.462;2.924;4.386;5.847;6.72;7.522;8.205;8.867;9.619;10.381;11.725;12.324;13.044;14.42;16.075;17.389;18.495;19.736;20.435;21.342;22.375;23.501;24.367;25.546;26.109;26.161;26.255;26.234;26.328;26.287;26.293;26.31;26.326;26.343;26.36;26.142;25.925;25.709;25.551;25.396;25.225;25.054;24.883;24.712;24.541;24.37;24.199;24.028;23.857;23.686;23.515;23.344;23.173;23.002;22.831;22.66;22.489;22.318;22.147;21.976;21.088;20.2;19.313;18.425;17.537;16.65;15.762;14.874;13.987;13.099
